team,result,diff_assists,diff_cspm,diff_damage,diff_dmgperminute,diff_gpm,diff_fbaron_time,diff_first_blood,diff_firstdeath,diff_first_tower,diff_match_duration,diff_gold_spent,diff_herald_time,diff_kills,diff_kpm,diff_minion_kills,diff_drag_kills,diff_tower_kills,totalgold,diff_vision_wards,diff_monster_kills
Cloud9,1,5.4910109431995835,0.42287649817613726,-0.41167274622199024,356.5578426263678,87.42717561229802,-0.22746221990620086,-0.5836373110995314,0.30054715997915515,-0.012245961438248187,-0.034653465346536905,973.6621938509634,0.7070088587806165,2.517978113600833,0.0,-1.5076862949453016,0.08194372068785816,1.7937727983324647,2426.000390828558,3.1763939551849916,11.433428869202714
FlyQuest,0,5.4910109431995835,0.42287649817613726,-0.41167274622199024,356.5578426263678,87.42717561229802,-0.22746221990620086,-0.5836373110995314,0.30054715997915515,-0.012245961438248187,-0.034653465346536905,973.6621938509634,0.7070088587806165,2.517978113600833,-0.0,-1.5076862949453016,0.08194372068785816,1.7937727983324647,2426.000390828558,3.1763939551849916,11.433428869202714
Team Liquid,1,2.226537216828479,0.2594805410339447,-0.4694216247614307,-92.15110779188467,21.768317981910286,-0.8456559621608193,-1.4797942079495483,-0.2619699609990871,0.42237158742013037,-2.5700771720189195,-4630.690150195005,0.5622769894614557,0.2784001327690646,0.0,-59.56584515807822,0.19674715791220665,-0.13890963405526513,-3865.163886814378,-3.9758526263380602,-15.906729731972433
Team SoloMid,0,2.226537216828479,0.2594805410339447,-0.4694216247614307,-92.15110779188467,21.768317981910286,-0.8456559621608193,-1.4797942079495483,-0.2619699609990871,0.42237158742013037,-2.5700771720189195,-4630.690150195005,0.5622769894614557,0.2784001327690646,-0.0,-59.56584515807822,0.19674715791220665,-0.13890963405526513,-3865.163886814378,-3.9758526263380602,-15.906729731972433
Counter Logic Gaming,1,-1.8479880774962716,0.3321535022354709,0.22149776453055203,39.43666169895687,-0.6007824143068774,-0.20324143070044798,-0.9096497764530556,-0.37164679582712523,0.24087183308494886,-0.6659836065573757,-961.5264530551431,-0.5545827123695961,-0.40257078986587125,0.0,-5.841840536512677,0.1754843517138598,-0.44150521609538007,-1297.8176229508172,5.5124813710879295,-7.408904619970173
100 Thieves,0,-1.8479880774962716,0.3321535022354709,0.22149776453055203,39.43666169895687,-0.6007824143068774,-0.20324143070044798,-0.9096497764530556,-0.37164679582712523,0.24087183308494886,-0.6659836065573757,-961.5264530551431,-0.5545827123695961,-0.40257078986587125,-0.0,-5.841840536512677,0.1754843517138598,-0.44150521609538007,-1297.8176229508172,5.5124813710879295,-7.408904619970173
Clutch Gaming,0,1.5517742270180541,0.6860344469806989,0.31292799335961874,22.799543473749736,1.1506536625856825,0.02427889603652389,-1.1052085494915955,-0.7433077401950623,0.03714463581655991,-0.5837310645362095,-869.5384934633767,-0.10728366881095752,0.2664453206059356,0.0,3.4550736667358706,-0.14069308985266638,-0.7231790827972606,-1028.3286989001863,-1.2977796223282851,-4.014940859099397
OpTic Gaming,1,1.5517742270180541,0.6860344469806989,0.31292799335961874,22.799543473749736,1.1506536625856825,0.02427889603652389,-1.1052085494915955,-0.7433077401950623,0.03714463581655991,-0.5837310645362095,-869.5384934633767,-0.10728366881095752,0.2664453206059356,-0.0,3.4550736667358706,-0.14069308985266638,-0.7231790827972606,-1028.3286989001863,-1.2977796223282851,-4.014940859099397
Golden Guardians,1,-2.4231884057971023,-0.49752770673486424,-0.5936913895993179,-109.05814151747654,-47.23358908780892,-0.1473145780051155,-0.03461210571185003,0.25797101449275317,0.3578857630008532,0.7512361466325643,9.272293265130429,-0.12088661551577218,-0.8968456947996586,0.0,34.80272804774086,0.01278772378516635,-0.7464620630861045,11.778516624042823,8.78874680306906,-19.414833759590806
Echo Fox,0,-2.4231884057971023,-0.49752770673486424,-0.5936913895993179,-109.05814151747654,-47.23358908780892,-0.1473145780051155,-0.03461210571185003,0.25797101449275317,0.3578857630008532,0.7512361466325643,9.272293265130429,-0.12088661551577218,-0.8968456947996586,-0.0,34.80272804774086,0.01278772378516635,-0.7464620630861045,11.778516624042823,8.78874680306906,-19.414833759590806
100 Thieves,0,4.4873323397913545,-0.05346497764530511,-0.38543219076005997,-13.485842026825594,3.7483233979135093,-0.2229880774962716,0.05719076005961288,-0.5463859910581217,-0.12611773472429277,-0.8258196721311464,-1279.7194485842047,0.7021236959761534,1.0747019374068554,0.0,-21.256520119224888,-0.10991058122205666,-0.11587183308494797,-1118.0676229508172,-6.315760059612522,-6.804210134128169
OpTic Gaming,1,4.4873323397913545,-0.05346497764530511,-0.38543219076005997,-13.485842026825594,3.7483233979135093,-0.2229880774962716,0.05719076005961288,-0.5463859910581217,-0.12611773472429277,-0.8258196721311464,-1279.7194485842047,0.7021236959761534,1.0747019374068554,-0.0,-21.256520119224888,-0.10991058122205666,-0.11587183308494797,-1118.0676229508172,-6.315760059612522,-6.804210134128169
